Device,Model,MaxNumSeqs,MaxNumBatchedTokens,TensorParallelSize,MaxModelLen,Dataset,InputLen,OutputLen,ExpectedETEL,NumPrompts
debug-2,google/gemma-3-27b-it,512,8192,8,1280,sonnet,1000,100,,
debug-2,google/gemma-3-27b-it,512,16384,8,1280,sonnet,1000,100,,
debug-2,google/gemma-3-27b-it,1024,2048,8,1280,sonnet,1000,100,,
debug-2,google/gemma-3-27b-it,1024,4096,8,1280,sonnet,1000,100,,
debug-2,google/gemma-3-27b-it,1024,8192,8,1280,sonnet,1000,100,,
debug-2,google/gemma-3-27b-it,1024,16384,8,1280,sonnet,1000,100,,
debug-2,google/gemma-3-27b-it,2048,2048,8,1280,sonnet,1000,100,,
debug-2,google/gemma-3-27b-it,2048,4096,8,1280,sonnet,1000,100,,
debug-2,google/gemma-3-27b-it,2048,8192,8,1280,sonnet,1000,100,,
debug-2,google/gemma-3-27b-it,2048,16384,8,1280,sonnet,1000,100,,
debug-2,meta-llama/Llama-3.1-70B-Instruct,128,2048,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.1-70B-Instruct,128,4096,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.1-70B-Instruct,128,8192,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.1-70B-Instruct,128,16384,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.1-70B-Instruct,256,2048,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.1-70B-Instruct,256,4096,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.1-70B-Instruct,256,8192,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.1-70B-Instruct,256,16384,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.1-70B-Instruct,512,2048,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.1-70B-Instruct,512,4096,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.1-70B-Instruct,512,8192,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.1-70B-Instruct,512,16384,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.1-70B-Instruct,1024,2048,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.1-70B-Instruct,1024,4096,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.1-70B-Instruct,1024,8192,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.1-70B-Instruct,1024,16384,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.1-70B-Instruct,2048,2048,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.1-70B-Instruct,2048,4096,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.1-70B-Instruct,2048,8192,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.1-70B-Instruct,2048,16384,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.3-70B-Instruct,128,2048,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.3-70B-Instruct,128,4096,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.3-70B-Instruct,128,8192,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.3-70B-Instruct,128,16384,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.3-70B-Instruct,256,2048,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.3-70B-Instruct,256,4096,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.3-70B-Instruct,256,8192,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.3-70B-Instruct,256,16384,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.3-70B-Instruct,512,2048,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.3-70B-Instruct,512,4096,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.3-70B-Instruct,512,8192,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.3-70B-Instruct,512,16384,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.3-70B-Instruct,1024,2048,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.3-70B-Instruct,1024,4096,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.3-70B-Instruct,1024,8192,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.3-70B-Instruct,1024,16384,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.3-70B-Instruct,2048,2048,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.3-70B-Instruct,2048,4096,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.3-70B-Instruct,2048,8192,8,2048,sonnet,1800,128,,
debug-2,meta-llama/Llama-3.3-70B-Instruct,2048,16384,8,2048,sonnet,1800,128,,
